Player Name,GP,G,A.,Pts,PIM,Seasons,Yrs.,Pos.,Birthdate,Birthplace
Garry Blaine,1,0,0,0,0,1954-1955,1,W,1933-04-19,"St. Boniface, MAN"
"Hector ""Toe"" Blake",569,235,292,527,282,1935-1948,13,L,1912-08-21,"Victoria Mines, ONT"
Sylvain Blouin,22,0,0,0,62,1998-2003,2,L,1974-05-21,"Montreal, PQ"
Mike Blunden,51,2,2,4,36,2011-2014,3,R,1986-12-15,"North York, ONT"
Serge Boisvert,29,5,5,10,4,1984-1988,4,C,1959-06-01,"Drummondville, PQ"
Marcel Bonin,280,68,137,205,220,1957-1962,5,L,1931-09-17,"Montreal, PQ"
Radek Bonk,135,19,25,44,106,2005-2007,2,C,1976-01-09,"Krnov, Czech"
Chris Bordeleau,61,3,16,19,22,1968-1970,2,C,1947-09-23,"Rouyn-Noranda, PQ"
Sebastien Bordeleau,85,8,17,25,38,1995-1998,3,C,1975-02-15,"Vancouver, BC"
Edmond Bouchard,18,1,4,5,4,1921-1922,1,L,1892-05-25,"St. Etienne, PQ"
"Emile ""Butch"" Bouchard",785,49,145,194,863,1941-1956,15,D,1919-09-04,"Montreal, PQ"
Pierre Bouchard,489,16,66,82,379,1970-1978,8,D,1948-02-20,"Longueuil, PQ"
Bill Boucher,156,83,33,116,321,1921-1927,6,R,1899-11-10,"Ottawa, ONT"
Robert Boucher,12,0,0,0,0,1923-1924,1,C,1904-02-14,"Ottawa, ONT"
Andre Boudrias,7,1,5,6,4,1963-1967,3,C,1943-09-19,"Montreal, PQ"
Francis Bouillon,581,24,93,117,424,1999-2014,11,D,1975-10-17,"New York, NY"
Conrad Bourcier,6,0,0,0,0,1935-1936,1,C,1915-05-28,"Montreal, PQ"
Jean-Louis Bourcier,9,0,1,1,0,1935-1936,1,L,1911-01-03,"Montreal, PQ"
Leo Bourgeault,67,5,4,9,19,1932-1935,3,D,1904-01-17,"Sturgeon Falls, ONT"
Michael Bournival,89,10,9,19,22,2013-2015,2,L,1992-05-31,"Shawinigan, PQ"
Claude Bourque,61,0,0,0,0,1938-1940,2,G,1915-03-31,"Oxford, NS"
Rene Bourque,141,21,18,39,97,2011-2015,4,R,1981-12-10,"Lac La Biche, ALTA"
Drayson Bowman,3,0,0,0,0,2014-2015,1,L,1989-03-08,"Grand Rapids, MI"
Jack Bownass,4,0,1,1,0,1957-1958,1,D,1930-07-27,"Winnipeg, MAN"
Dustin Boyd,10,1,0,1,2,2010-2011,1,C,1986-07-16,"Winnipeg, MAN"
Donald Brashear,111,3,7,10,358,1993-1997,4,L,1972-01-07,"Bedford, IN"
Daniel Briere,69,13,12,25,30,2013-2014,1,C,1977-10-06,"Gatineau, PQ"
Patrice Brisebois,896,87,284,371,546,1990-2009,16,D,1971-01-27,"Montreal, PQ"
Gerry Brisson,4,0,2,2,4,1962-1963,1,R,1937-09-03,"St. Boniface, MAN"
Connie Broden,6,2,1,3,2,1955-1958,3,C,1932-04-06,"Montreal, PQ"
Len Broderick,1,0,0,0,0,1957-1958,1,G,1938-10-11,"Toronto, ONT"
Adam Brooks,4,0,1,1,0,2021-2022,1,C,1996-05-06,"Winnipeg, MAN"
Brad Brown,13,0,0,0,43,1996-1999,2,D,1975-12-27,"Baie Verte, NFLD"
George Brown,79,6,22,28,34,1936-1939,3,C,1912-05-17,"Winnipeg, MAN"
Mike Brown,14,1,1,2,27,2015-2016,1,R,1985-06-24,"Chicago, IL"
Jeff Brubaker,3,0,1,1,32,1981-1982,1,L,1958-02-24,"Hagerstown, MD"
Benoit Brunet,494,92,149,241,221,1988-2002,13,L,1968-08-24,"Pointe-Claire, PQ"
Randy Bucyk,17,4,2,6,8,1985-1986,1,C,1962-11-09,"Edmonton, ALTA"
Peter Budaj,54,0,3,3,8,2011-2014,3,G,1982-09-18,"Banska Bystrica, Slovakia"
Jan Bulis,292,58,76,134,118,2000-2006,5,C,1978-03-18,"Pardubice, Czech Rep."
"Fred ""Skippy"" Burchell",4,0,0,0,2,1950-1954,2,C,1931-01-09,"Montreal, PQ"
Valeri Bure,215,46,64,110,73,1994-1998,4,R,1974-06-13,"Moscow, Russia"
Marc Bureau,182,22,22,44,74,1995-1998,3,C,1966-05-19,"Trois-Rivieres, PQ"
Marty Burke,303,15,38,53,375,1927-1938,8,D,1903-01-28,"Toronto, ONT"
Walter Buswell,228,6,31,37,108,1935-1940,5,D,1908-11-08,"Montreal, PQ"
Paul Byron,383,81,79,160,98,2015-2022,7,L,1989-04-27,"Ottawa, ONT"
Herbert Cain,45,13,14,27,26,1938-1939,1,L,1913-12-24,"Newmarket, ONT"
Billy Cameron,18,0,0,0,2,1923-1924,1,R,1896-12-05,"Timmins, ONT"
Harry Cameron,16,13,0,13,11,1919-1920,1,D,1890-02-06,"Pembroke, ONT"
Mike Cammalleri,170,54,65,119,59,2009-2012,3,L,1982-06-08,"Toronto, ONT"
Dave Campbell,3,0,0,0,0,1920-1921,1,D,1896-04-27,"Lachute, PQ"
Jim Campbell,57,9,11,20,53,2000-2001,1,R,1973-04-03,"Worcester, MA"
Tod Campeau,42,5,9,14,16,1943-1949,3,C,1923-06-04,"Saint-Jerome, PQ"
Dominic Campedelli,2,0,0,0,0,1985-1986,1,D,1964-04-03,"Cohasset, MA"
Chris Campoli,43,2,9,11,8,2011-2012,1,D,1984-07-09,"Mississauga, ONT"
Guy Carbonneau,912,221,326,547,623,1980-1994,13,C,1960-03-18,"Sept-Iles, PQ"
Mathieu Carle,3,0,0,0,4,2009-2010,1,D,1987-09-30,"Gatineau, PQ"
Kent Carlson,85,4,8,12,106,1983-1986,3,D,1962-01-11,"Concord, NH"
Patrik Carnback,6,0,0,0,2,1992-1993,1,R,1968-02-01,"Goteborg, Sweden"
Alain Caron,2,0,0,0,0,1968-1969,1,R,1938-04-27,"Dolbeau, PQ"
Daniel Carr,94,14,20,34,22,2015-2018,3,L,1991-11-01,"Sherwood Park, ALTA"
Bob Carse,22,3,3,6,16,1947-1948,1,L,1919-07-19,"Edmonton, ALTA"
Gerald Carson,209,11,8,19,172,1928-1935,5,D,1903-10-10,"Parry Sound, ONT"
Billy Carter,8,0,0,0,4,1957-1962,2,C,1937-12-02,"Cornwall, ONT"
Joe Carveth,107,17,33,50,18,1947-1950,3,R,1918-03-21,"Regina, SASK"
Andrew Cassels,60,8,19,27,22,1989-1991,2,C,1969-07-23,"Bramalea, ONT"
Cole Caufield,172,70,53,123,26,2020-2024,4,R,2001-01-02,"Stevens Point, WI"
Frederic Chabot,16,0,0,0,2,1990-1999,4,G,1968-02-12,"Hebertville, PQ"
John Chabot,66,19,31,50,15,1983-1985,2,C,1962-05-18,"Summerside, PEI"
Lorne Chabot,47,0,0,0,2,1933-1934,1,G,1900-10-05,"Montreal, PQ"
"Erwin ""Murph"" Chamberlain",323,66,97,163,540,1940-1949,8,C,1915-02-14,"Shawville, PQ"
Michael Chaput,32,0,5,5,14,2018-2019,1,C,1992-04-09,"Ile-Bizard, PQ"
Jose Charbonneau,25,1,5,6,12,1987-1989,2,R,1966-11-21,"Ferme-Neuve, PQ"
Eric Charron,3,0,0,0,2,1992-1993,1,D,1970-01-14,"Verdun, PQ"
Guy Charron,20,2,2,4,2,1969-1971,2,C,1949-01-24,"Verdun, PQ"
Rick Chartraw,281,18,37,55,222,1974-1981,7,D,1954-07-13,"Caracas, Venezuela"
Chris Chelios,402,72,237,309,783,1983-1990,7,D,1962-01-25,"Chicago, IL"
Ben Chiarot,164,17,29,46,153,2019-2022,3,D,1991-05-09,"Hamilton, ONT"
Kyle Chipchura,68,4,10,14,31,2007-2010,3,C,1986-02-19,"Westlock, ALTA"
Tom Chorske,71,12,12,24,34,1989-1991,2,L,1966-09-18,"Minneapolis, MN"
Eric Chouinard,13,1,3,4,0,2000-2001,1,C,1980-07-08,"Atlanta, GA"
Enrico Ciccone,3,0,0,0,14,2000-2001,1,D,1970-04-10,"Montreal, PQ"
Kale Clague,25,2,3,5,18,2021-2022,1,D,1998-06-05,"Regina, SASK"
Brett Clark,102,3,2,5,36,1997-1999,2,D,1976-12-23,"Wapella, SASK"
Odie Cleghorn,158,93,28,121,139,1918-1925,7,R,1891-09-19,"Montreal, PQ"
Sprague Cleghorn,98,42,15,57,218,1921-1925,4,D,1890-03-11,"Montreal, PQ"
Wally Clune,5,0,0,0,6,1955-1956,1,D,1931-02-20,"Toronto, ONT"
Erik Cole,101,38,29,67,58,2011-2013,2,L,1978-11-06,"Oswego, NY"
"Norman ""Dodger"" Collings",1,0,1,1,0,1934-1935,1,F,1910-05-06,"Bradford, ONT"
Bill Collins,40,6,2,8,39,1970-1971,1,C,1943-07-13,"Ottawa, ONT"
Rey Comeau,4,0,0,0,0,1971-1972,1,C,1948-10-25,"Montreal, PQ"
Mike Condon,55,0,0,0,0,2015-2016,1,G,1990-04-27,"Holliston, MA"
Lucas Condotta,3,1,0,1,0,2022-2024,2,C,1997-11-06,"Georgetown, ONT"
Wayne Connelly,3,0,0,0,0,1960-1961,1,R,1939-12-16,"Rouyn-Noranda, PQ"
Cam Connor,23,1,3,4,39,1978-1979,1,R,1954-08-10,"Winnipeg, MAN"
Craig Conroy,13,1,0,1,2,1994-1996,2,C,1971-09-04,"Potsdam, NY"
Carson Cooper,14,5,3,8,16,1926-1927,1,R,1899-07-17,"Cornwall, ONT"
Bert Corbeau,105,37,14,51,244,1917-1922,5,D,1894-02-09,"Penetanguishene, ONT"
Roger Cormier,1,0,0,0,0,1925-1926,1,R,1905-03-23,"Montreal, PQ"
Andre Corriveau,3,0,1,1,0,1953-1954,1,R,1928-05-15,"Grand'Mere, PQ"
Shayne Corson,662,168,255,423,1341,1985-2000,11,L,1966-08-13,"Barrie, ONT"
Alain Cote,41,0,9,9,48,1990-1992,2,D,1967-04-14,"Montmagny, PQ"
Jean-Philippe Cote,8,0,0,0,4,2005-2006,1,D,1982-04-22,"Quebec, PQ"
John Coughlin,3,0,0,0,0,1919-1920,1,R,1892-06-06,"Duro, ONT"
Yvan Cournoyer,968,428,435,863,255,1963-1979,16,F,1943-11-22,"Drummondville, PQ"
Russ Courtnall,250,82,113,195,77,1988-1992,4,R,1965-01-02,"Duncan, BC"
Nick Cousins,58,9,13,22,33,2019-2020,1,C,1993-07-20,"Belleville, ONT"
Billy Coutu,175,24,13,37,271,1917-1926,8,D,1892-03-01,"Sault Ste. Marie, ONT"
Gerry Couture,10,0,1,1,4,1951-1952,1,C,1925-08-06,"Saskatoon, SASK"
"Rosario ""Lolo"" Couture",10,0,1,1,0,1935-1936,1,R,1905-07-24,"St. Boniface, MAN"
Abby Cox,1,0,0,0,0,1935-1936,1,G,1904-07-19,"London, ONT"
Glen Cressman,4,0,0,0,2,1956-1957,1,C,1934-08-29,"Kitchener, ONT"
Ed Cristofoli,9,0,1,1,4,1989-1990,1,R,1967-05-14,"Trail, BC"
Nels Crutchfield,41,5,5,10,20,1934-1935,1,C,1911-07-12,"Knowlton, PQ"
Wilf Cude,220,0,0,0,0,1933-1941,8,G,1910-07-04,"Barry, Wales"
Jassen Cullimore,52,2,6,8,46,1996-1998,2,D,1972-12-04,"Simcoe, ONT"
Jim Cummins,47,3,5,8,92,1999-2000,1,R,1970-05-17,"Dearborn, MI"
Hugh Currie,1,0,0,0,0,1950-1951,1,D,1925-10-22,"Saskatoon, SASK"
Floyd Curry,601,105,99,204,147,1947-1958,11,R,1925-08-11,"Chapleau, ONT"
Paul Curtis,1,0,0,0,0,1969-1970,1,D,1947-09-29,"Peterborough, ONT"
Ian Cushenan,35,1,2,3,28,1958-1959,1,D,1933-11-29,"Hamilton, ONT"
Claude Cyr,1,0,0,0,0,1958-1959,1,G,1939-03-27,"Montreal, PQ"
Mariusz Czerkawski,43,5,9,14,16,2002-2003,1,R,1972-04-13,"Radomsko, Poland"
Matt D'Agostini,94,14,11,25,44,2007-2010,3,R,1986-10-23,"Sault Ste. Marie, ONT"
Kirby Dach,60,14,26,40,43,2022-2024,2,C,2001-01-21,"Fort Saskatchewan, ALTA"
Andreas Dackell,212,26,44,70,58,2001-2004,3,R,1972-12-29,"Gavle, Sweden"
Evgeny Dadonov,50,4,14,18,16,2022-2023,1,R,1989-03-12,"Chelyabinsk, Russia"
Pierre Dagenais,82,22,17,39,40,2003-2006,2,L,1978-03-04,"Blainville, PQ"
Kjell Dahlin,166,57,59,116,10,1985-1988,3,R,1963-02-02,"Timra, Sweden"
J.J. Daigneault,352,22,68,90,257,1989-1996,7,D,1965-10-12,"Montreal, PQ"
"Napoleon ""Bunny"" Dame",34,2,5,7,4,1941-1942,1,L,1913-12-06,"Edmonton, ALTA"
Vincent Damphousse,519,184,314,498,559,1992-1999,7,C,1967-12-17,"Montreal, PQ"
Phillip Danault,360,54,140,194,172,2015-2021,6,C,1993-02-24,"Victoriaville, PQ"
Mathieu Dandenault,252,20,34,54,174,2005-2009,4,R,1976-02-03,"Sherbrooke, PQ"
Yann Danis,6,0,0,0,0,2005-2006,1,G,1981-06-21,"Lafontaine, PQ"
Dan Daoust,4,0,1,1,4,1982-1983,1,C,1960-02-29,"Montreal, PQ"
Craig Darby,166,19,28,47,30,1994-2002,4,C,1972-09-26,"Oneida, NY"
Mathieu Darche,149,22,26,48,32,2009-2012,3,L,1976-11-26,"Montreal, PQ"
Laurent Dauphin,38,4,8,12,25,2021-2022,1,C,1995-03-27,"Repentigny, PQ"
Brandon Davidson,23,0,3,3,13,2016-2018,2,D,1991-08-21,"Taber, ALTA"
Lorne Davis,40,7,5,12,4,1951-1954,3,R,1930-07-20,"Regina, SASK"
Jason Dawe,37,4,5,9,14,1998-1999,1,R,1973-05-29,"North York, ONT"
Bob Dawes,15,0,5,5,4,1950-1951,1,D,1924-11-29,"Saskatoon, SASK"
Nigel Dawes,4,0,0,0,0,2010-2011,1,L,1985-02-09,"Winnipeg, MAN"
Jacob De La Rose,119,8,11,19,51,2014-2018,4,C,1995-05-20,"Arvika, Sweden"
Lucien DeBlois,112,26,28,54,68,1984-1986,2,F,1957-06-21,"Joliette, PQ"
Denis DeJordy,7,0,1,1,0,1971-1972,1,G,1938-11-15,"Saint-Hyacinthe, PQ"
Jonathan Delisle,1,0,0,0,0,1998-1999,1,R,1977-06-30,"Ste.Anne des Plaines, PQ"
Xavier Delisle,14,3,2,5,6,2000-2001,1,C,1977-05-24,"Quebec, PQ"
Gilbert Delorme,165,17,36,53,152,1981-1984,3,D,1962-11-25,"Boucherville, PQ"
Tony Demers,82,20,22,42,23,1937-1943,5,R,1917-07-22,"Chambly, PQ"
Louis Denis,3,0,1,1,0,1949-1951,2,R,1928-06-07,"Vonda, SASK"
Marc Denis,1,0,0,0,0,2008-2009,1,G,1977-08-01,"Montreal, PQ"
Gerry Desaulniers,8,0,2,2,4,1950-1954,3,C,1928-12-31,"Shawinigan Falls, PQ"
Matthieu Descoteaux,5,1,1,2,4,2000-2001,1,D,1977-09-22,"Pierreville, PQ"
David Desharnais,435,79,171,250,136,2009-2017,8,C,1986-09-14,"Laurier-Station, PQ"
Joffre Desilets,118,20,25,45,23,1935-1938,3,R,1915-04-16,"Capreol, ONT"
Eric Desjardins,405,43,136,179,351,1988-1995,7,D,1969-06-14,"Rouyn-Noranda, PQ"
Martin Desjardins,8,0,2,2,2,1989-1990,1,C,1967-01-28,"Sainte-Rose, PQ"
Jacques Deslauriers,2,0,0,0,0,1955-1956,1,D,1928-09-03,"Montreal, PQ"
Nicolas Deslauriers,106,12,7,19,77,2017-2019,2,L,1991-02-22,"La Salle, PQ"
"Marcel ""Ching"" Dheere",11,1,2,3,2,1942-1943,1,L,1920-12-19,"St. Boniface, MAN"
Raphael Diaz,128,4,37,41,48,2011-2014,3,D,1986-01-09,"Baar, Switzerland"
Gerald Diduck,32,1,2,3,39,1990-1991,1,D,1965-04-06,"Sherwood Park, ALTA"
Darren Dietz,13,1,4,5,13,2015-2016,1,D,1993-07-17,"Medicine Hat, ALTA"
Gilbert Dionne,196,60,70,130,106,1990-1995,5,L,1970-09-19,"Drummondville, PQ"
Paul DiPietro,154,25,44,69,80,1991-1995,4,C,1970-09-08,"Sault Ste. Marie, ONT"
Robert Dirk,3,0,0,0,6,1995-1996,1,D,1966-08-20,"Regina, SASK"
Fred Doherty,3,0,0,0,0,1918-1919,1,R,,"Norwood, ONT"
Max Domi,153,45,71,116,115,2018-2020,2,C,1995-03-02,"Winnipeg, MAN"
"John ""Red"" Doran",6,0,3,3,6,1939-1940,1,D,1910-05-24,"Belleville, ONT"
Ed Dorohoy,16,0,0,0,6,1948-1949,1,C,1929-03-13,"Medicine Hat, ALTA"
Jim Dowd,14,3,2,5,6,2003-2004,1,C,1968-12-25,"Brick, NJ"
Aaron Downey,46,2,4,6,98,2005-2007,2,R,1974-08-27,"Shelburne, ONT"
Davis Drewiske,9,1,2,3,0,2012-2013,1,D,1984-11-22,"Hudson, WI"
Gordie Drillon,49,28,22,50,14,1942-1943,1,R,1914-10-23,"Moncton, NB"
Jonathan Drouin,321,48,138,186,131,2017-2023,6,L,1995-03-28,"Sainte-Agathe, PQ"
Jude Drouin,12,0,1,1,2,1968-1970,2,C,1948-10-28,"Murdochville, PQ"
Polly Drouin,156,23,50,73,80,1935-1941,6,L,1908-01-04,"Verdun, PQ"
Ken Dryden,397,0,19,19,12,1970-1979,8,G,1947-08-08,"Hamilton, ONT"
Gilles Dube,12,1,2,3,2,1949-1950,1,L,1927-06-02,"Sherbrooke, PQ"
Dick Duff,305,87,85,172,166,1964-1970,6,L,1936-02-18,"Kirkland Lake, ONT"
Donald Dufresne,119,3,20,23,155,1988-1993,5,D,1967-04-10,"Quebec, PQ"
Gabriel Dumont,18,1,2,3,13,2011-2015,4,C,1990-10-06,"Degelis, PQ"
Norm Dupont,35,1,3,4,4,1979-1980,1,L,1957-02-05,"Montreal, PQ"
Bill Durnan,383,0,1,1,7,1943-1950,7,G,1916-01-22,"Toronto, ONT"
Norm Dussault,206,31,62,93,47,1947-1951,4,L,1925-09-26,"Springfield, MA"
Christian Dvorak,145,24,44,68,34,2021-2024,3,C,1996-02-02,"Palos Heights, IL"
Gordie Dwyer,13,0,0,0,53,2002-2004,2,L,1978-01-25,"Dalhousie, NB"
Karl Dykhuis,288,21,32,53,152,1999-2004,5,D,1972-07-08,"Sept-Iles, PQ"
Frank Eddolls,57,5,9,14,26,1944-1947,3,D,1921-07-05,"Lachine, PQ"
"Gary ""Duke"" Edmundson",1,0,0,0,2,1951-1952,1,D,1932-05-06,"Sexsmith, ALTA"
Joel Edmundson,140,8,24,32,118,2020-2023,3,D,1993-06-28,"Brandon, MAN"
Lars Eller,435,71,83,154,297,2010-2016,6,C,1989-05-08,"Rodovre, Denmark"
Morgan Ellis,3,0,0,0,2,2015-2016,1,D,1992-04-30,"Ellerslie, PEI"
Eddie Emberg‡,,,,,,1944-1945,1,C,1921-11-18,"Montreal, PQ"
Alexei Emelin,380,14,58,72,323,2011-2017,6,D,1986-04-25,"Tolyatti, Russia"
Brian Engblom,316,14,87,101,298,1976-1982,6,D,1955-01-27,"Winnipeg, MAN"
Andreas Engqvist,15,0,0,0,4,2010-2012,2,C,1987-12-23,"Stockholm, Sweden"
Tony Esposito,13,0,0,0,0,1968-1969,1,G,1943-04-23,"Sault Ste. Marie, ONT"
Claude Evans,4,0,0,0,0,1954-1955,1,G,1933-04-28,"Longueuil, PQ"
Jake Evans,235,22,55,77,91,2019-2024,5,C,1996-06-02,"Toronto, ONT"
Stewart Evans,43,2,7,9,58,1938-1939,1,D,1908-06-19,"Ottawa, ONT"
Todd Ewen,190,13,19,32,609,1989-1993,4,R,1966-03-22,"Saskatoon, SASK"
Randy Exelby,1,0,0,0,0,1988-1989,1,G,1965-08-13,"Toronto, ONT"
Bobby Farnham,3,0,0,0,17,2016-2017,1,R,1989-01-21,"North Andover, MA"
Sean Farrell,6,1,0,1,0,2022-2023,1,L,2001-11-02,"Hopkinton, MA"
Craig Ferguson,13,1,1,2,2,1993-1996,3,C,1970-04-08,"Castro Valley, CA"
John Ferguson,500,145,158,303,1214,1963-1971,8,R,1938-09-05,"Vancouver, BC"
Jonathan Ferland,7,1,0,1,2,2005-2006,1,R,1983-02-09,"Ste-Marie-du-Beauce, PQ"
Eric Fichaud,2,0,0,0,0,2000-2001,1,G,1975-11-04,"Anjou, PQ"
Wilf Field,9,1,0,1,10,1944-1945,1,D,1916-04-29,"Winnipeg, MAN"
Bob Fillion,327,42,61,103,84,1943-1950,7,L,1921-07-12,"Thetford Mines, PQ"
Stephane Fiset,2,0,0,0,0,2001-2002,1,G,1970-06-17,"Montreal, PQ"
Rory Fitzpatrick,48,0,3,3,24,1995-1997,2,D,1975-01-11,"Rochester, NY"
Tomas Fleischmann,57,10,10,20,28,2015-2016,1,L,1984-05-16,"Koprivnice, Czech Rep."
Gerry Fleming,11,0,0,0,42,1993-1995,2,L,1966-10-16,"Montreal, PQ"
Reg Fleming,3,0,0,0,2,1959-1960,1,D,1936-04-21,"Montreal, PQ"
Steven Fletcher‡,,,,,,1987-1988,1,L,1962-03-31,"Montreal, PQ"
Cale Fleury,41,1,0,1,6,2019-2020,1,D,1998-11-19,"Carlyle, SASK"
Ron Flockhart,42,10,12,22,14,1984-1985,1,F,1960-10-10,"Smithers, BC"
Brian Flynn,116,10,10,20,10,2014-2017,3,C,1988-07-26,"Lynnfield, MA"
Bryan Fogarty,34,6,4,10,44,1993-1995,2,D,1969-06-11,"Montreal, PQ"
